ADP,Player,Team,Pos,CMP,ATT,Pass YDS,Pass TDS,INT,CAR,Rush YDS,Rush TDS,REC,Rec YDS,Rec TDS,TAR,FPTS,Avg
165.6,Dylan Sampson,CLE,RB,0,0,0,0,0,96,410,2,22,152,1,28,247.3,14.5
149,Zach Charbonnet,SEA,RB,0,0,0,0,0,103,448,3,27,189,0,34,233.1,13.7
161.7,Trey Benson,ARI,RB,0,0,0,0,0,120,529,3,21,154,1,27,233.6,13.7
163.2,Tyler Allgeier,ATL,RB,0,0,0,0,0,121,552,4,11,75,0,13,237.2,14
156.7,Najee Harris,LAC,RB,0,0,0,0,0,130,524,5,17,115,1,22,240.4,14.1
169.5,Jaylen Wright,MIA,RB,0,0,0,0,0,101,428,3,16,113,1,21,239.5,14.1
152.2,Bhayshul Tuten,JAX,RB,0,0,0,0,0,52,227,1,13,91,0,17,238.2,14
169.5,Braelon Allen,NYJ,RB,0,0,0,0,0,106,445,2,14,105,0,19,352.7,20.7
163.5,Isaac Guerendo,SF,RB,0,0,0,0,0,113,495,4,6,48,0,8,335.8,19.8
169.8,MarShawn Lloyd,GB,RB,0,0,0,0,0,80,333,2,20,142,1,26,323.5,19
168.6,Ray Davis,BUF,RB,0,0,0,0,0,106,441,3,8,57,0,10,325.1,19.1
169.1,Roschon Johnson,CHI,RB,0,0,0,0,0,91,372,5,21,132,1,27,317.1,18.7
155.6,Jaydon Blue,DAL,RB,0,0,0,0,0,62,261,1,7,47,0,9,315.5,18.6
169.9,Will Shipley,PHI,RB,0,0,0,0,0,56,240,2,11,76,0,14,322.1,18.9
169.5,Justice Hill,BAL,RB,0,0,0,0,0,41,185,1,38,316,2,50,310,18.2
168.3,Kareem Hunt,KC,RB,0,0,0,0,0,66,262,3,14,88,1,18,290.3,17.1
169.8,Blake Corum,LAR,RB,0,0,0,0,0,58,246,2,9,63,0,11,300,17.6
161.6,Nick Chubb,HOU,RB,0,0,0,0,0,122,533,4,8,65,0,11,306.1,18
170,Woody Marks,HOU,RB,0,0,0,0,0,37,159,1,17,124,1,22,278.2,16.4
169.8,Rico Dowdle,CAR,RB,0,0,0,0,0,75,338,2,21,148,1,28,270.7,15.9
169.9,Miles Sanders,DAL,RB,0,0,0,0,0,96,419,2,11,69,0,15,266.8,15.7
1.6,Ja'Marr Chase,CIN,WR,0,0,0,0,0,4,20,0,121,1601,12,171,352.7,20.7
4.7,Justin Jefferson,MIN,WR,0,0,0,0,0,0,0,0,116,1455,10,175,335.8,19.8
7.1,CeeDee Lamb,DAL,WR,0,0,0,0,0,8,49,0,117,1438,8,170,323.5,19
9.9,Puka Nacua,LAR,WR,0,0,0,0,0,13,77,1,109,1461,7,160,325.1,19.1
10.2,Amon-Ra St. Brown,DET,WR,0,0,0,0,0,5,31,0,117,1251,7,152,317.1,18.7
12.3,Malik Nabers,NYG,WR,0,0,0,0,0,4,24,0,107,1421,8,169,315.5,18.6
16.6,Nico Collins,HOU,WR,0,0,0,0,0,0,0,0,98,1346,8,143,322.1,18.9
19.4,Brian Thomas,JAX,WR,0,0,0,0,0,4,26,0,96,1320,7,150,310,18.2
17.4,A.J. Brown,PHI,WR,0,0,0,0,0,0,0,0,91,1341,8,142,290.3,17.1
22.9,Drake London,ATL,WR,0,0,0,0,0,0,0,0,97,1199,8,154,300,17.6
29.6,Tee Higgins,CIN,WR,0,0,0,0,0,0,0,0,94,1156,9,141,297.9,17.5
30.5,Ladd McConkey,LAC,WR,0,0,0,0,0,0,0,0,99,1243,7,145,306.1,18
